loan_amnt,term,int_rate,grade,annual_inc,loan_status,purpose,dti,pub_rec,revol_util,annual_inc_range,loan_amnt_range,int_rate_range,revol_util_range,dti_range
14000, 36 months,9.91,B,80000,0,small_business,10,0,13.4,75k-100k,10k-15k,7.5-10,0-20,5-10%
5000, 36 months,8.9,A,100000,1,debt_consolidation,16.33,0,62.1,75k-100k,0-5k,7.5-10,60-80,15-20%
10000, 36 months,10.65,B,27000,0,other,11.47,0,52.3,25k-50k,5k-10k,10-12.5,40-60,10-15%
10000, 36 months,6.03,A,60000,0,credit_card,12.74,0,19.5,50k-75k,5k-10k,0-7.5,0-20,10-15%
11000, 36 months,6.62,A,70000,0,debt_consolidation,10.85,0,36.4,50k-75k,10k-15k,0-7.5,20-40,10-15%
15000, 36 months,9.91,B,80000,1,debt_consolidation,9.12,0,63.7,75k-100k,10k-15k,7.5-10,60-80,5-10%
25600, 36 months,9.91,B,110000,0,credit_card,15.71,0,62,100k+,25k+,7.5-10,60-80,15-20%
7000, 36 months,10.65,B,40000,0,debt_consolidation,7.38,0,92.9,25k-50k,5k-10k,10-12.5,80+,5-10%
12000, 36 months,15.96,C,50000,1,car,20.88,0,90.8,25k-50k,10k-15k,15+,80+,20-25%
12000, 36 months,9.91,B,46000,0,credit_card,8.11,0,52.1,25k-50k,10k-15k,7.5-10,40-60,5-10%
21000, 60 months,19.91,E,50000,1,debt_consolidation,21.58,0,97.6,25k-50k,20k-25k,15+,80+,20-25%
16000, 60 months,19.91,E,81000,0,credit_card,20.52,0,75.1,75k-100k,15k-20k,15+,60-80,20-25%
10000, 36 months,12.42,B,39000,0,debt_consolidation,18.58,0,72.7,25k-50k,5k-10k,10-12.5,60-80,15-20%
10000, 36 months,10.65,B,51400,0,credit_card,19.14,0,59.1,50k-75k,5k-10k,10-12.5,40-60,15-20%
7100, 36 months,16.77,D,33000,0,debt_consolidation,24,0,91.2,25k-50k,5k-10k,15+,80+,20-25%
13000, 60 months,12.69,B,30000,0,debt_consolidation,13.72,0,58.9,25k-50k,10k-15k,12.5-15,40-60,10-15%
17500, 60 months,17.27,D,40000,0,small_business,19.47,0,58.9,25k-50k,15k-20k,15+,40-60,15-20%
17675, 60 months,14.65,C,50000,0,debt_consolidation,16.46,0,57.4,25k-50k,15k-20k,12.5-15,40-60,15-20%
8000, 36 months,16.77,D,62000,0,debt_consolidation,21.64,0,66.9,50k-75k,5k-10k,15+,60-80,20-25%
10000, 60 months,10.65,B,45996,1,debt_consolidation,21.73,0,30.1,25k-50k,5k-10k,10-12.5,20-40,20-25%
3500, 36 months,10.65,B,55000,0,debt_consolidation,5.39,0,45.9,50k-75k,0-5k,10-12.5,40-60,5-10%
12500, 60 months,17.27,D,30000,1,debt_consolidation,13.16,1,70.8,25k-50k,10k-15k,15+,60-80,10-15%
16425, 36 months,14.27,C,44544,0,debt_consolidation,22.71,0,83.4,25k-50k,15k-20k,12.5-15,80+,20-25%
8200, 60 months,21.28,F,75000,1,small_business,12.48,0,73.9,50k-75k,5k-10k,15+,60-80,10-15%
15000, 36 months,14.65,C,61000,0,credit_card,11.88,0,79.5,50k-75k,10k-15k,12.5-15,60-80,10-15%
20975, 60 months,17.58,D,44000,0,credit_card,18.79,1,79.4,25k-50k,20k-25k,15+,60-80,15-20%
6400, 36 months,16.77,D,75000,1,debt_consolidation,20.22,0,67.5,50k-75k,5k-10k,15+,60-80,20-25%
3000, 36 months,13.49,C,33600,0,debt_consolidation,18.11,0,83.2,25k-50k,0-5k,12.5-15,80+,15-20%
12000, 36 months,16.77,D,50000,0,credit_card,20.57,0,97,25k-50k,10k-15k,15+,80+,20-25%
12000, 36 months,14.65,C,90000,0,debt_consolidation,16.56,0,78.5,75k-100k,10k-15k,12.5-15,60-80,15-20%
11000, 36 months,13.49,C,48000,0,debt_consolidation,21.82,0,65,25k-50k,10k-15k,12.5-15,60-80,20-25%
7250, 60 months,21.67,F,75000,0,debt_consolidation,24.82,1,91.2,50k-75k,5k-10k,15+,80+,20-25%
15000, 36 months,7.9,A,52000,0,small_business,9.65,0,6.7,50k-75k,10k-15k,7.5-10,0-20,5-10%
18000, 60 months,19.91,E,65000,0,debt_consolidation,6.81,0,77.8,50k-75k,15k-20k,15+,60-80,5-10%
10000, 36 months,14.27,C,68000,0,credit_card,15.39,0,81.3,50k-75k,5k-10k,12.5-15,80+,15-20%
11800, 36 months,12.69,B,42000,0,credit_card,9.86,0,74.8,25k-50k,10k-15k,12.5-15,60-80,5-10%
4500, 36 months,6.03,A,53000,0,major_purchase,4.44,0,13.9,50k-75k,0-5k,0-7.5,0-20,0-5%
7000, 36 months,12.69,B,35000,0,credit_card,11.35,0,82.3,25k-50k,5k-10k,12.5-15,80+,10-15%
9200, 36 months,12.42,B,60000,0,debt_consolidation,19.96,0,78.7,50k-75k,5k-10k,10-12.5,60-80,15-20%
4500, 60 months,10.65,B,42000,0,car,5.4,0,78.3,25k-50k,0-5k,10-12.5,60-80,5-10%
12000, 36 months,16.29,D,88365,0,debt_consolidation,16.85,0,96.4,75k-100k,10k-15k,15+,80+,15-20%
12000, 36 months,13.49,C,72000,0,debt_consolidation,21.33,0,27.6,50k-75k,10k-15k,12.5-15,20-40,20-25%
12000, 36 months,10.65,B,62000,0,credit_card,23.94,0,78.4,50k-75k,10k-15k,10-12.5,60-80,20-25%
7000, 36 months,10.65,B,43680,0,credit_card,5.38,0,78.1,25k-50k,5k-10k,10-12.5,60-80,5-10%
8200, 60 months,19.42,E,120000,0,debt_consolidation,2.8,0,88.4,100k+,5k-10k,15+,80+,0-5%
10500, 36 months,12.69,B,66000,0,medical,20.73,0,51.2,50k-75k,10k-15k,12.5-15,40-60,20-25%
7000, 36 months,11.71,B,39120,0,debt_consolidation,21.01,1,52.4,25k-50k,5k-10k,10-12.5,40-60,20-25%
20000, 60 months,11.71,B,47800,0,debt_consolidation,10.04,0,46.3,25k-50k,15k-20k,10-12.5,40-60,10-15%
17500, 60 months,17.27,D,45000,1,credit_card,21.31,0,86.1,25k-50k,15k-20k,15+,80+,20-25%
3500, 36 months,6.03,A,83000,0,car,2.31,0,13.4,75k-100k,0-5k,0-7.5,0-20,0-5%
6200, 36 months,9.91,B,25000,1,debt_consolidation,20.64,0,47.7,0-25k,5k-10k,7.5-10,40-60,20-25%
6000, 36 months,8.9,A,28800,0,debt_consolidation,13.17,0,36.8,25k-50k,5k-10k,7.5-10,20-40,10-15%
7200, 36 months,9.91,B,135000,0,credit_card,6.12,0,79.6,100k+,5k-10k,7.5-10,60-80,5-10%
9500, 36 months,8.9,A,50000,0,credit_card,8.18,0,60.5,25k-50k,5k-10k,7.5-10,60-80,5-10%
18825, 60 months,16.77,D,38000,1,debt_consolidation,23.18,0,79.7,25k-50k,15k-20k,15+,60-80,20-25%
24000, 36 months,10.65,B,45000,0,debt_consolidation,14.8,0,55.2,25k-50k,20k-25k,10-12.5,40-60,10-15%
6000, 36 months,13.49,C,80000,0,debt_consolidation,11.58,0,83.8,75k-100k,5k-10k,12.5-15,80+,10-15%
6000, 36 months,13.49,C,50000,0,debt_consolidation,15.38,0,91.5,25k-50k,5k-10k,12.5-15,80+,15-20%
2100, 36 months,12.42,B,30000,0,vacation,19.72,0,82.9,25k-50k,0-5k,10-12.5,80+,15-20%
5500, 36 months,6.62,A,110000,0,small_business,9.69,0,21.9,100k+,5k-10k,0-7.5,20-40,5-10%
11000, 36 months,6.62,A,45608,0,debt_consolidation,20.5,0,58.7,25k-50k,10k-15k,0-7.5,40-60,20-25%
26800, 60 months,20.89,F,120000,0,debt_consolidation,12.15,0,48,100k+,25k+,15+,40-60,10-15%
8000, 36 months,12.69,B,35000,0,debt_consolidation,10.05,0,97.7,25k-50k,5k-10k,12.5-15,80+,10-15%
10000, 36 months,18.25,D,75000,1,credit_card,24.14,0,96.3,50k-75k,5k-10k,15+,80+,20-25%
8000, 36 months,11.71,B,35000,0,credit_card,9.7,0,46.5,25k-50k,5k-10k,10-12.5,40-60,5-10%
10000, 36 months,8.9,A,24000,0,debt_consolidation,7,0,49.5,0-25k,5k-10k,7.5-10,40-60,5-10%
12000, 36 months,11.71,B,126000,0,debt_consolidation,13.32,0,54.1,100k+,10k-15k,10-12.5,40-60,10-15%
10000, 36 months,7.9,A,43000,0,debt_consolidation,25.26,0,37.2,25k-50k,5k-10k,7.5-10,20-40,25%+
12000, 36 months,9.91,B,50000,0,debt_consolidation,16.44,0,29.3,25k-50k,10k-15k,7.5-10,20-40,15-20%
25000, 60 months,13.49,C,67000,1,credit_card,14.15,0,91.2,50k-75k,20k-25k,12.5-15,80+,10-15%
19750, 36 months,10.65,B,45000,1,debt_consolidation,22.8,0,54.2,25k-50k,15k-20k,10-12.5,40-60,20-25%
10000, 36 months,9.91,B,31200,0,debt_consolidation,14.81,0,27,25k-50k,5k-10k,7.5-10,20-40,10-15%
13650, 36 months,12.42,B,66000,0,debt_consolidation,24.09,0,56.5,50k-75k,10k-15k,10-12.5,40-60,20-25%
28000, 60 months,19.91,E,52000,1,debt_consolidation,20.7,0,87.6,50k-75k,25k+,15+,80+,20-25%
18000, 36 months,7.9,A,56964,0,debt_consolidation,27.55,0,76.6,50k-75k,15k-20k,7.5-10,60-80,25%+
2500, 36 months,14.27,C,49500,0,debt_consolidation,10.33,0,37.7,25k-50k,0-5k,12.5-15,20-40,10-15%
21000, 60 months,20.3,E,70000,0,credit_card,23.21,0,70.7,50k-75k,20k-25k,15+,60-80,20-25%
10000, 36 months,7.51,A,33000,0,credit_card,9.75,0,0.6,25k-50k,5k-10k,7.5-10,0-20,5-10%
7000, 36 months,12.69,B,30000,0,credit_card,15.8,0,47.6,25k-50k,5k-10k,12.5-15,40-60,15-20%
24000, 36 months,15.96,C,90000,1,home_improvement,9.17,0,71.2,75k-100k,20k-25k,15+,60-80,5-10%
10625, 36 months,7.51,A,23000,0,medical,18.89,0,43.4,0-25k,10k-15k,7.5-10,40-60,15-20%
5000, 36 months,14.65,C,24000,0,debt_consolidation,18.3,0,33.3,0-25k,0-5k,12.5-15,20-40,15-20%
8850, 36 months,6.62,A,62000,0,credit_card,17.71,0,35.9,50k-75k,5k-10k,0-7.5,20-40,15-20%
6375, 36 months,7.51,A,44000,0,debt_consolidation,4.8,0,58,25k-50k,5k-10k,7.5-10,40-60,0-5%
6000, 36 months,11.71,B,90000,0,credit_card,2.97,0,56.6,75k-100k,5k-10k,10-12.5,40-60,0-5%
11100, 36 months,6.62,A,41000,1,credit_card,29.85,0,62.3,25k-50k,10k-15k,0-7.5,60-80,25%+
10000, 60 months,12.69,B,56000,0,debt_consolidation,10.82,0,31.2,50k-75k,5k-10k,12.5-15,20-40,10-15%
6200, 36 months,6.03,A,26500,0,small_business,18.2,0,16,25k-50k,5k-10k,0-7.5,0-20,15-20%
15000, 36 months,18.64,E,54000,0,debt_consolidation,19.69,0,90.3,50k-75k,10k-15k,15+,80+,15-20%
4200, 36 months,11.71,B,53000,0,other,16.91,0,79.7,50k-75k,0-5k,10-12.5,60-80,15-20%
14000, 36 months,14.27,C,52800,0,debt_consolidation,7.36,0,70.8,50k-75k,10k-15k,12.5-15,60-80,5-10%
8875, 36 months,7.51,A,38000,0,debt_consolidation,23.53,0,62.1,25k-50k,5k-10k,7.5-10,60-80,20-25%
13500, 36 months,9.91,B,38000,0,debt_consolidation,12.38,0,67.3,25k-50k,10k-15k,7.5-10,60-80,10-15%
12000, 36 months,9.91,B,42000,1,debt_consolidation,7.83,0,65.4,25k-50k,10k-15k,7.5-10,60-80,5-10%
16000, 60 months,19.91,E,55000,0,debt_consolidation,15.8,0,72.4,50k-75k,15k-20k,15+,60-80,15-20%
21600, 60 months,19.42,E,60000,0,debt_consolidation,16.74,0,78.1,50k-75k,20k-25k,15+,60-80,15-20%
6000, 36 months,10.65,B,87000,0,home_improvement,12.86,0,40.5,75k-100k,5k-10k,10-12.5,40-60,10-15%
8450, 60 months,16.77,D,25000,0,debt_consolidation,22.51,0,83.5,0-25k,5k-10k,15+,80+,20-25%
20000, 60 months,13.49,C,82000,0,credit_card,17.68,0,61.4,75k-100k,15k-20k,12.5-15,60-80,15-20%
10000, 36 months,11.71,B,60000,1,debt_consolidation,22.08,0,29.3,50k-75k,5k-10k,10-12.5,20-40,20-25%
12000, 36 months,16.29,D,80000,0,credit_card,18.18,0,97.2,75k-100k,10k-15k,15+,80+,15-20%
13475, 60 months,13.49,C,25000,1,credit_card,21.89,0,65.8,0-25k,10k-15k,12.5-15,60-80,20-25%
7200, 36 months,12.42,B,48000,0,major_purchase,17.43,0,80.2,25k-50k,5k-10k,10-12.5,80+,15-20%
5600, 36 months,14.65,C,85000,1,debt_consolidation,12.24,0,90.8,75k-100k,5k-10k,12.5-15,80+,10-15%
12000, 36 months,14.27,C,57000,0,debt_consolidation,10.86,0,81.5,50k-75k,10k-15k,12.5-15,80+,10-15%
8500, 36 months,6.03,A,25000,0,credit_card,1.73,0,28,0-25k,5k-10k,0-7.5,20-40,0-5%
8000, 36 months,9.91,B,34000,0,credit_card,18.28,0,78.5,25k-50k,5k-10k,7.5-10,60-80,15-20%
8000, 36 months,12.42,B,40000,0,credit_card,15,0,88.2,25k-50k,5k-10k,10-12.5,80+,10-15%
16000, 60 months,15.27,C,42656.4,0,debt_consolidation,17.44,0,92.3,25k-50k,15k-20k,15+,80+,15-20%
15000, 36 months,17.27,D,44400,0,house,3.59,1,91.6,25k-50k,10k-15k,15+,80+,0-5%
10000, 36 months,9.91,B,30000,0,debt_consolidation,11.24,0,66.8,25k-50k,5k-10k,7.5-10,60-80,10-15%
10000, 36 months,6.62,A,70000,0,credit_card,16.78,0,69,50k-75k,5k-10k,0-7.5,60-80,15-20%
8000, 36 months,14.65,C,28000,0,car,12.6,0,54.3,25k-50k,5k-10k,12.5-15,40-60,10-15%
22000, 36 months,9.91,B,50000,0,debt_consolidation,13.22,0,49.8,25k-50k,20k-25k,7.5-10,40-60,10-15%
6000, 36 months,14.27,C,94800,0,car,24.53,0,95.9,75k-100k,5k-10k,12.5-15,80+,20-25%
16000, 60 months,9.91,B,40000,0,debt_consolidation,9.39,0,28.5,25k-50k,15k-20k,7.5-10,20-40,5-10%
13500, 36 months,9.91,B,36000,0,credit_card,22.93,0,67.2,25k-50k,10k-15k,7.5-10,60-80,20-25%
10000, 36 months,13.49,C,45900,0,small_business,24.97,0,48.3,25k-50k,5k-10k,12.5-15,40-60,20-25%
2500, 36 months,13.49,C,27200,0,debt_consolidation,6.44,0,68.1,25k-50k,0-5k,12.5-15,60-80,5-10%
7325, 36 months,12.69,B,42000,0,debt_consolidation,22.57,0,65,25k-50k,5k-10k,12.5-15,60-80,20-25%
4000, 36 months,12.42,B,135000,0,credit_card,12.12,0,85.7,100k+,0-5k,10-12.5,80+,10-15%
10000, 36 months,13.49,C,65000,1,small_business,6.92,0,69.5,50k-75k,5k-10k,12.5-15,60-80,5-10%
7750, 36 months,17.27,D,24000,1,debt_consolidation,16.1,0,67.1,0-25k,5k-10k,15+,60-80,15-20%
20000, 60 months,20.89,F,70000,1,debt_consolidation,16.63,0,79.9,50k-75k,15k-20k,15+,60-80,15-20%
9600, 36 months,12.42,B,65000,0,debt_consolidation,11.65,0,70.9,50k-75k,5k-10k,10-12.5,60-80,10-15%
21000, 60 months,11.71,B,60000,1,debt_consolidation,6.62,0,79.9,50k-75k,20k-25k,10-12.5,60-80,5-10%
14000, 36 months,10.65,B,30000,0,credit_card,15.52,0,65.6,25k-50k,10k-15k,10-12.5,60-80,15-20%
13350, 36 months,12.42,B,43000,0,debt_consolidation,20.57,0,95.3,25k-50k,10k-15k,10-12.5,80+,20-25%
15000, 36 months,16.77,D,42000,1,debt_consolidation,19.63,0,74.9,25k-50k,10k-15k,15+,60-80,15-20%
15000, 36 months,17.27,D,75000,1,debt_consolidation,16.03,0,75.9,50k-75k,10k-15k,15+,60-80,15-20%
9000, 36 months,10.65,B,74000,0,credit_card,8.89,0,71.7,50k-75k,5k-10k,10-12.5,60-80,5-10%
22475, 60 months,15.27,C,52000,0,debt_consolidation,15.23,0,61.8,50k-75k,20k-25k,15+,60-80,15-20%
16000, 36 months,12.69,B,58500,1,debt_consolidation,20.64,0,89.3,50k-75k,15k-20k,12.5-15,80+,20-25%
13500, 36 months,12.69,B,71000,0,debt_consolidation,11.97,0,77.7,50k-75k,10k-15k,12.5-15,60-80,10-15%
24000, 36 months,12.69,B,75000,0,debt_consolidation,11.6,0,84.6,50k-75k,20k-25k,12.5-15,80+,10-15%
12000, 36 months,10.65,B,60000,0,credit_card,10.84,0,48.8,50k-75k,10k-15k,10-12.5,40-60,10-15%
8400, 60 months,16.77,D,87996,0,major_purchase,11.35,0,80.3,75k-100k,5k-10k,15+,80+,10-15%
28000, 60 months,17.58,D,140000,0,home_improvement,12.07,0,13.4,100k+,25k+,15+,0-20,10-15%
14000, 36 months,6.62,A,66000,0,debt_consolidation,11.15,0,35.4,50k-75k,10k-15k,0-7.5,20-40,10-15%
12000, 36 months,14.27,C,70000,1,other,8.4,0,86.2,50k-75k,10k-15k,12.5-15,80+,5-10%
25000, 36 months,11.71,B,100000,0,debt_consolidation,6.88,0,89.1,75k-100k,20k-25k,10-12.5,80+,5-10%
9000, 36 months,12.69,B,50000,0,debt_consolidation,17.81,0,55.4,25k-50k,5k-10k,12.5-15,40-60,15-20%
13250, 36 months,10.65,B,35000,0,debt_consolidation,24.93,0,58.7,25k-50k,10k-15k,10-12.5,40-60,20-25%
20000, 36 months,13.49,C,75000,0,debt_consolidation,22.38,0,90.8,50k-75k,15k-20k,12.5-15,80+,20-25%
3000, 36 months,14.65,C,71000,0,medical,21.84,0,88.7,50k-75k,0-5k,12.5-15,80+,20-25%
7350, 36 months,10.65,B,48000,0,debt_consolidation,11.93,0,77.5,25k-50k,5k-10k,10-12.5,60-80,10-15%
11500, 36 months,15.27,C,36000,0,debt_consolidation,21.1,0,76.7,25k-50k,10k-15k,15+,60-80,20-25%
13650, 36 months,12.42,B,86000,1,debt_consolidation,12.29,0,73.4,75k-100k,10k-15k,10-12.5,60-80,10-15%
10500, 36 months,16.29,D,30000,1,debt_consolidation,15,0,55.5,25k-50k,10k-15k,15+,40-60,10-15%
12000, 36 months,9.91,B,60000,0,debt_consolidation,15.5,0,85.7,50k-75k,10k-15k,7.5-10,80+,15-20%
6000, 36 months,8.9,A,34000,0,credit_card,14.51,0,64.8,25k-50k,5k-10k,7.5-10,60-80,10-15%
11500, 36 months,15.27,C,44200,0,credit_card,21.69,0,90,25k-50k,10k-15k,15+,80+,20-25%
7000, 36 months,12.42,B,82000,0,debt_consolidation,12,0,71.6,75k-100k,5k-10k,10-12.5,60-80,10-15%
29500, 60 months,20.3,E,83000,0,debt_consolidation,20.93,0,89.8,75k-100k,25k+,15+,80+,20-25%
2000, 36 months,15.27,C,41000,0,moving,17.74,0,96.4,25k-50k,0-5k,15+,80+,15-20%
11625, 36 months,13.49,C,36000,0,credit_card,19.33,0,84.7,25k-50k,10k-15k,12.5-15,80+,15-20%
15075, 36 months,14.27,C,35000,1,debt_consolidation,20.16,0,89.6,25k-50k,15k-20k,12.5-15,80+,20-25%
5300, 36 months,15.27,C,30000,0,credit_card,24.88,0,82.7,25k-50k,5k-10k,15+,80+,20-25%
8200, 36 months,6.62,A,40000,0,home_improvement,11.1,0,25.5,25k-50k,5k-10k,0-7.5,20-40,10-15%
12000, 36 months,12.42,B,105000,0,credit_card,13.98,0,75,100k+,10k-15k,10-12.5,60-80,10-15%
8650, 36 months,14.27,C,45000,0,credit_card,7.6,0,58.9,25k-50k,5k-10k,12.5-15,40-60,5-10%
9500, 36 months,12.69,B,52500,1,moving,23.54,0,75.3,50k-75k,5k-10k,12.5-15,60-80,20-25%
7400, 36 months,13.49,C,25000,0,debt_consolidation,8.45,0,92.8,0-25k,5k-10k,12.5-15,80+,5-10%
14400, 36 months,13.49,C,60000,0,debt_consolidation,16.92,0,65,50k-75k,10k-15k,12.5-15,60-80,15-20%
24250, 60 months,23.91,G,120000,0,debt_consolidation,12.96,0,99,100k+,20k-25k,15+,80+,10-15%
7200, 36 months,7.9,A,68000,1,debt_consolidation,7.98,0,82.9,50k-75k,5k-10k,7.5-10,80+,5-10%
26000, 60 months,16.77,D,53000,1,home_improvement,11.77,0,72.7,50k-75k,25k+,15+,60-80,10-15%
7000, 60 months,11.71,B,69600,1,credit_card,26.22,0,90.9,50k-75k,5k-10k,10-12.5,80+,25%+
4000, 36 months,7.51,A,65000,0,major_purchase,18.17,0,50.7,50k-75k,0-5k,7.5-10,40-60,15-20%
19600, 36 months,12.42,B,75000,0,credit_card,11.62,0,50.1,50k-75k,15k-20k,10-12.5,40-60,10-15%
2500, 36 months,11.71,B,29000,0,debt_consolidation,18.7,0,66.7,25k-50k,0-5k,10-12.5,60-80,15-20%
10000, 36 months,12.69,B,70000,1,credit_card,2.69,0,70.2,50k-75k,5k-10k,12.5-15,60-80,0-5%
10000, 36 months,6.62,A,45000,0,credit_card,26.85,0,70.4,25k-50k,5k-10k,0-7.5,60-80,25%+
4225, 36 months,12.42,B,55200,0,other,17.61,0,73.7,50k-75k,0-5k,10-12.5,60-80,15-20%
3500, 36 months,7.9,A,61440,0,vacation,6.46,0,55.5,50k-75k,0-5k,7.5-10,40-60,5-10%
12000, 36 months,6.62,A,56000,0,debt_consolidation,13.65,0,80.3,50k-75k,10k-15k,0-7.5,80+,10-15%
16500, 36 months,8.9,A,47000,0,debt_consolidation,9.06,0,38.8,25k-50k,15k-20k,7.5-10,20-40,5-10%
22000, 60 months,21.67,F,55000,0,debt_consolidation,15.62,0,79.4,50k-75k,20k-25k,15+,60-80,15-20%
12000, 36 months,14.65,C,71000,0,credit_card,14.87,0,71,50k-75k,10k-15k,12.5-15,60-80,10-15%
15600, 60 months,12.69,B,50000,1,vacation,5.78,0,35.7,25k-50k,15k-20k,12.5-15,20-40,5-10%
10800, 36 months,12.42,B,135000,0,credit_card,12.12,0,74.5,100k+,10k-15k,10-12.5,60-80,10-15%
14000, 36 months,12.42,B,63000,0,credit_card,7.35,0,97.8,50k-75k,10k-15k,10-12.5,80+,5-10%
6000, 36 months,13.49,C,50000,0,debt_consolidation,15.58,0,83.6,25k-50k,5k-10k,12.5-15,80+,15-20%
12000, 36 months,9.91,B,80000,0,debt_consolidation,14.83,0,67.7,75k-100k,10k-15k,7.5-10,60-80,10-15%
10000, 36 months,12.42,B,45000,0,debt_consolidation,10.45,0,51.6,25k-50k,5k-10k,10-12.5,40-60,10-15%
8000, 36 months,7.9,A,78000,0,vacation,6.09,0,55.9,75k-100k,5k-10k,7.5-10,40-60,5-10%
14125, 36 months,9.91,B,33000,0,debt_consolidation,23.13,0,66,25k-50k,10k-15k,7.5-10,60-80,20-25%
