id,loan_amnt,term,int_rate,grade,annual_inc,loan_status,purpose,dti,pub_rec,revol_util
106,8000, 36 months,11.71,B,35000,0,credit_card,9.7,0,46.5
107,10000, 36 months,8.9,A,24000,0,debt_consolidation,7,0,49.5
108,12000, 36 months,11.71,B,126000,0,debt_consolidation,13.32,0,54.1
109,10000, 36 months,7.9,A,43000,0,debt_consolidation,25.26,0,37.2
110,12000, 36 months,9.91,B,50000,0,debt_consolidation,16.44,0,29.3
111,25000, 60 months,13.49,C,67000,1,credit_card,14.15,0,91.2
112,19750, 36 months,10.65,B,45000,1,debt_consolidation,22.8,0,54.2
113,10000, 36 months,9.91,B,31200,0,debt_consolidation,14.81,0,27
114,13650, 36 months,12.42,B,66000,0,debt_consolidation,24.09,0,56.5
115,28000, 60 months,19.91,E,52000,1,debt_consolidation,20.7,0,87.6
116,18000, 36 months,7.9,A,56964,0,debt_consolidation,27.55,0,76.6
117,2500, 36 months,14.27,C,49500,0,debt_consolidation,10.33,0,37.7
118,21000, 60 months,20.3,E,70000,0,credit_card,23.21,0,70.7
119,10000, 36 months,7.51,A,33000,0,credit_card,9.75,0,0.6
120,7000, 36 months,12.69,B,30000,0,credit_card,15.8,0,47.6
121,24000, 36 months,15.96,C,90000,1,home_improvement,9.17,0,71.2
122,10625, 36 months,7.51,A,23000,0,medical,18.89,0,43.4
123,5000, 36 months,14.65,C,24000,0,debt_consolidation,18.3,0,33.3
124,8850, 36 months,6.62,A,62000,0,credit_card,17.71,0,35.9
125,6375, 36 months,7.51,A,44000,0,debt_consolidation,4.8,0,58
126,6000, 36 months,11.71,B,90000,0,credit_card,2.97,0,56.6
127,11100, 36 months,6.62,A,41000,1,credit_card,29.85,0,62.3
128,10000, 60 months,12.69,B,56000,0,debt_consolidation,10.82,0,31.2
129,6200, 36 months,6.03,A,26500,0,small_business,18.2,0,16
130,15000, 36 months,18.64,E,54000,0,debt_consolidation,19.69,0,90.3
131,4200, 36 months,11.71,B,53000,0,other,16.91,0,79.7
132,14000, 36 months,14.27,C,52800,0,debt_consolidation,7.36,0,70.8
133,8875, 36 months,7.51,A,38000,0,debt_consolidation,23.53,0,62.1
134,13500, 36 months,9.91,B,38000,0,debt_consolidation,12.38,0,67.3
135,12000, 36 months,9.91,B,42000,1,debt_consolidation,7.83,0,65.4
136,16000, 60 months,19.91,E,55000,0,debt_consolidation,15.8,0,72.4
137,21600, 60 months,19.42,E,60000,0,debt_consolidation,16.74,0,78.1
138,6000, 36 months,10.65,B,87000,0,home_improvement,12.86,0,40.5
139,8450, 60 months,16.77,D,25000,0,debt_consolidation,22.51,0,83.5
140,20000, 60 months,13.49,C,82000,0,credit_card,17.68,0,61.4
141,10000, 36 months,11.71,B,60000,1,debt_consolidation,22.08,0,29.3
142,12000, 36 months,16.29,D,80000,0,credit_card,18.18,0,97.2
143,13475, 60 months,13.49,C,25000,1,credit_card,21.89,0,65.8
144,7200, 36 months,12.42,B,48000,0,major_purchase,17.43,0,80.2
145,5600, 36 months,14.65,C,85000,1,debt_consolidation,12.24,0,90.8
146,12000, 36 months,14.27,C,57000,0,debt_consolidation,10.86,0,81.5
147,8500, 36 months,6.03,A,25000,0,credit_card,1.73,0,28
148,8000, 36 months,9.91,B,34000,0,credit_card,18.28,0,78.5
149,8000, 36 months,12.42,B,40000,0,credit_card,15,0,88.2
150,16000, 60 months,15.27,C,42656.4,0,debt_consolidation,17.44,0,92.3
151,15000, 36 months,17.27,D,44400,0,house,3.59,1,91.6
152,10000, 36 months,9.91,B,30000,0,debt_consolidation,11.24,0,66.8
153,10000, 36 months,6.62,A,70000,0,credit_card,16.78,0,69
154,8000, 36 months,14.65,C,28000,0,car,12.6,0,54.3
155,22000, 36 months,9.91,B,50000,0,debt_consolidation,13.22,0,49.8
156,6000, 36 months,14.27,C,94800,0,car,24.53,0,95.9
157,16000, 60 months,9.91,B,40000,0,debt_consolidation,9.39,0,28.5
158,13500, 36 months,9.91,B,36000,0,credit_card,22.93,0,67.2
159,10000, 36 months,13.49,C,45900,0,small_business,24.97,0,48.3
160,2500, 36 months,13.49,C,27200,0,debt_consolidation,6.44,0,68.1
161,7325, 36 months,12.69,B,42000,0,debt_consolidation,22.57,0,65
162,4000, 36 months,12.42,B,135000,0,credit_card,12.12,0,85.7
163,10000, 36 months,13.49,C,65000,1,small_business,6.92,0,69.5
164,7750, 36 months,17.27,D,24000,1,debt_consolidation,16.1,0,67.1
165,20000, 60 months,20.89,F,70000,1,debt_consolidation,16.63,0,79.9
166,9600, 36 months,12.42,B,65000,0,debt_consolidation,11.65,0,70.9
167,21000, 60 months,11.71,B,60000,1,debt_consolidation,6.62,0,79.9
168,14000, 36 months,10.65,B,30000,0,credit_card,15.52,0,65.6
169,13350, 36 months,12.42,B,43000,0,debt_consolidation,20.57,0,95.3
170,15000, 36 months,16.77,D,42000,1,debt_consolidation,19.63,0,74.9
171,15000, 36 months,17.27,D,75000,1,debt_consolidation,16.03,0,75.9
172,9000, 36 months,10.65,B,74000,0,credit_card,8.89,0,71.7
173,22475, 60 months,15.27,C,52000,0,debt_consolidation,15.23,0,61.8
174,16000, 36 months,12.69,B,58500,1,debt_consolidation,20.64,0,89.3
175,13500, 36 months,12.69,B,71000,0,debt_consolidation,11.97,0,77.7
176,24000, 36 months,12.69,B,75000,0,debt_consolidation,11.6,0,84.6
177,12000, 36 months,10.65,B,60000,0,credit_card,10.84,0,48.8
178,8400, 60 months,16.77,D,87996,0,major_purchase,11.35,0,80.3
179,28000, 60 months,17.58,D,140000,0,home_improvement,12.07,0,13.4
180,14000, 36 months,6.62,A,66000,0,debt_consolidation,11.15,0,35.4
181,12000, 36 months,14.27,C,70000,1,other,8.4,0,86.2
182,25000, 36 months,11.71,B,100000,0,debt_consolidation,6.88,0,89.1
183,9000, 36 months,12.69,B,50000,0,debt_consolidation,17.81,0,55.4
184,13250, 36 months,10.65,B,35000,0,debt_consolidation,24.93,0,58.7
185,20000, 36 months,13.49,C,75000,0,debt_consolidation,22.38,0,90.8
186,3000, 36 months,14.65,C,71000,0,medical,21.84,0,88.7
187,7350, 36 months,10.65,B,48000,0,debt_consolidation,11.93,0,77.5
188,11500, 36 months,15.27,C,36000,0,debt_consolidation,21.1,0,76.7
189,13650, 36 months,12.42,B,86000,1,debt_consolidation,12.29,0,73.4
190,10500, 36 months,16.29,D,30000,1,debt_consolidation,15,0,55.5
191,12000, 36 months,9.91,B,60000,0,debt_consolidation,15.5,0,85.7
192,6000, 36 months,8.9,A,34000,0,credit_card,14.51,0,64.8
193,11500, 36 months,15.27,C,44200,0,credit_card,21.69,0,90
194,7000, 36 months,12.42,B,82000,0,debt_consolidation,12,0,71.6
195,29500, 60 months,20.3,E,83000,0,debt_consolidation,20.93,0,89.8
196,2000, 36 months,15.27,C,41000,0,moving,17.74,0,96.4
197,11625, 36 months,13.49,C,36000,0,credit_card,19.33,0,84.7
198,15075, 36 months,14.27,C,35000,1,debt_consolidation,20.16,0,89.6
199,5300, 36 months,15.27,C,30000,0,credit_card,24.88,0,82.7
200,8200, 36 months,6.62,A,40000,0,home_improvement,11.1,0,25.5
201,12000, 36 months,12.42,B,105000,0,credit_card,13.98,0,75
202,8650, 36 months,14.27,C,45000,0,credit_card,7.6,0,58.9
203,9500, 36 months,12.69,B,52500,1,moving,23.54,0,75.3
204,7400, 36 months,13.49,C,25000,0,debt_consolidation,8.45,0,92.8
205,14400, 36 months,13.49,C,60000,0,debt_consolidation,16.92,0,65
206,24250, 60 months,23.91,G,120000,0,debt_consolidation,12.96,0,99
207,7200, 36 months,7.9,A,68000,1,debt_consolidation,7.98,0,82.9
208,26000, 60 months,16.77,D,53000,1,home_improvement,11.77,0,72.7
209,7000, 60 months,11.71,B,69600,1,credit_card,26.22,0,90.9
210,4000, 36 months,7.51,A,65000,0,major_purchase,18.17,0,50.7
211,19600, 36 months,12.42,B,75000,0,credit_card,11.62,0,50.1
212,2500, 36 months,11.71,B,29000,0,debt_consolidation,18.7,0,66.7
213,10000, 36 months,12.69,B,70000,1,credit_card,2.69,0,70.2
214,10000, 36 months,6.62,A,45000,0,credit_card,26.85,0,70.4
215,4225, 36 months,12.42,B,55200,0,other,17.61,0,73.7
216,3500, 36 months,7.9,A,61440,0,vacation,6.46,0,55.5
217,12000, 36 months,6.62,A,56000,0,debt_consolidation,13.65,0,80.3
218,16500, 36 months,8.9,A,47000,0,debt_consolidation,9.06,0,38.8
219,22000, 60 months,21.67,F,55000,0,debt_consolidation,15.62,0,79.4
220,12000, 36 months,14.65,C,71000,0,credit_card,14.87,0,71
221,15600, 60 months,12.69,B,50000,1,vacation,5.78,0,35.7
222,10800, 36 months,12.42,B,135000,0,credit_card,12.12,0,74.5
223,14000, 36 months,12.42,B,63000,0,credit_card,7.35,0,97.8
224,6000, 36 months,13.49,C,50000,0,debt_consolidation,15.58,0,83.6
225,12000, 36 months,9.91,B,80000,0,debt_consolidation,14.83,0,67.7
226,10000, 36 months,12.42,B,45000,0,debt_consolidation,10.45,0,51.6
227,8000, 36 months,7.9,A,78000,0,vacation,6.09,0,55.9
228,14125, 36 months,9.91,B,33000,0,debt_consolidation,23.13,0,66
229,14000, 36 months,12.69,B,62800,0,debt_consolidation,19.24,0,64.5
230,13200, 60 months,17.27,D,26400,0,small_business,9.64,0,50.1
231,4000, 36 months,12.69,B,25000,1,debt_consolidation,6.86,0,79.7
232,10500, 36 months,6.03,A,65000,0,debt_consolidation,10.36,0,18.7
233,5500, 36 months,7.9,A,59000,0,car,6.65,1,43.3
234,7350, 36 months,11.71,B,33000,0,debt_consolidation,22.51,0,77.9
235,10000, 36 months,12.42,B,39000,1,credit_card,18.31,0,90.6
236,12000, 36 months,7.51,A,42000,0,debt_consolidation,10.74,0,43
237,5000, 60 months,11.71,B,38004,0,home_improvement,23.78,0,57.3
238,8000, 60 months,11.71,B,31000,0,other,16.22,0,34.4
239,4500, 36 months,8.9,A,50700,0,other,23.43,0,24.4
240,18000, 36 months,12.42,B,75000,0,credit_card,12.51,0,66.1
241,12000, 36 months,13.49,C,40000,0,debt_consolidation,15.72,0,80.5
242,10000, 36 months,13.49,C,50000,0,credit_card,5.88,0,47.6
243,6000, 36 months,7.9,A,80000,0,other,8.87,0,30.3
244,12000, 36 months,12.69,B,40000,0,debt_consolidation,22.2,0,55.5
245,12000, 36 months,8.9,A,80000,1,other,9.13,0,83.5
246,7000, 36 months,11.71,B,75000,0,debt_consolidation,15.57,0,94.1
247,1400, 36 months,7.9,A,28800,0,other,10,0,9.9
248,16000, 60 months,13.49,C,35000,1,small_business,16.22,0,58.5
249,3200, 36 months,9.91,B,61200,0,debt_consolidation,2.16,1,33.3
250,8000, 36 months,7.9,A,40000,0,medical,13.35,0,34.4
251,11875, 60 months,12.69,B,25920,1,debt_consolidation,23.75,0,94.1
252,5000, 36 months,6.03,A,54000,0,home_improvement,3.82,0,4
253,1800, 36 months,6.62,A,18000,0,small_business,23.8,0,39.8
254,18000, 36 months,8.9,A,78000,0,credit_card,7,0,66.3
255,14000, 36 months,7.9,A,45600,1,debt_consolidation,19.74,0,63.9
256,5000, 36 months,12.42,B,70000,0,debt_consolidation,20.06,0,54.2
257,8000, 36 months,15.96,C,70000,0,credit_card,14.04,0,91.9
258,10000, 36 months,6.03,A,80000,0,debt_consolidation,12.99,0,45.2
259,10000, 36 months,7.51,A,50000,0,debt_consolidation,4.63,0,25.7
260,12000, 36 months,12.42,B,35000,0,debt_consolidation,18.51,0,75.7
261,23200, 36 months,7.9,A,65000,0,debt_consolidation,27.99,0,47
262,4800, 36 months,15.27,C,75000,0,debt_consolidation,9.3,0,73.7
263,7300, 36 months,11.71,B,35000,0,debt_consolidation,16.42,0,44.6
264,10400, 36 months,9.91,B,40000,0,debt_consolidation,11.67,0,80.6
265,6600, 36 months,9.91,B,100000,0,house,15.53,0,27.8
266,12000, 36 months,8.9,A,40000,0,debt_consolidation,9.45,0,37.4
267,13250, 36 months,17.27,D,52000,0,debt_consolidation,23.7,0,91.5
268,12000, 36 months,11.71,B,92500,0,debt_consolidation,15.97,0,56.2
269,25000, 36 months,9.91,B,61000,0,debt_consolidation,10.35,0,49.4
270,6000, 36 months,10.65,B,36000,0,other,14.43,0,48.5
271,12000, 36 months,7.51,A,68000,0,credit_card,7.08,0,55.6
272,14400, 36 months,11.71,B,80000,0,credit_card,16.35,0,48.4
273,10000, 36 months,12.42,B,43000,0,credit_card,11.58,0,65.5
274,8000, 36 months,16.29,D,50000,1,credit_card,13.22,0,72.9
275,30000, 60 months,12.42,B,70000,1,small_business,0.94,0,3.2
276,18000, 60 months,16.77,D,40000,1,home_improvement,18.42,0,73.4
277,13250, 36 months,11.71,B,35000,0,credit_card,22.35,0,67.2
278,14000, 36 months,14.27,C,80000,0,debt_consolidation,16.21,0,96.2
279,20000, 60 months,20.3,E,59000,1,debt_consolidation,20.91,0,83.1
280,10000, 36 months,16.29,D,40000,0,credit_card,24.39,0,96.4
281,4000, 36 months,6.03,A,55000,0,debt_consolidation,7.05,0,43.8
282,13000, 36 months,9.91,B,110000,0,debt_consolidation,8.38,0,81.3
283,28000, 36 months,12.69,B,100000,0,credit_card,12.35,0,67.5
284,10000, 36 months,13.49,C,62000,0,debt_consolidation,11.52,0,79.1
285,20000, 36 months,7.9,A,45000,0,debt_consolidation,9.25,0,74.9
286,18000, 36 months,9.91,B,110000,0,debt_consolidation,10,0,62.5
287,9000, 60 months,19.91,E,60000,1,credit_card,22.56,0,91.1
288,25000, 60 months,18.64,E,61500,1,debt_consolidation,12.6,0,60.8
289,10000, 36 months,11.71,B,33000,0,other,8.69,0,88.3
290,4200, 36 months,6.03,A,61000,0,credit_card,8.92,0,12.9
291,20000, 60 months,15.27,C,78216,1,debt_consolidation,10.79,0,80.3
292,18000, 60 months,17.27,D,62000,1,debt_consolidation,7.82,0,86.7
293,24000, 36 months,16.29,D,50964,0,debt_consolidation,8.83,0,69.4
294,4475, 36 months,15.27,C,43680,0,credit_card,18.79,0,33.5
295,12000, 36 months,12.42,B,50700,0,credit_card,22.49,0,80.8
296,5000, 36 months,12.42,B,30000,1,debt_consolidation,23.84,0,89.7
297,3000, 36 months,6.03,A,50000,0,other,5.5,0,29.4
298,12000, 36 months,9.91,B,55000,1,debt_consolidation,13,0,75.5
299,20000, 36 months,15.27,C,50000,0,other,4.34,0,52.7
300,10000, 36 months,13.49,C,84000,0,debt_consolidation,13.87,0,68.7
301,12000, 36 months,7.9,A,62000,0,debt_consolidation,8.71,0,57.7
302,6300, 36 months,11.71,B,30000,0,credit_card,7.2,0,84.3
303,8250, 60 months,15.96,C,35004,0,home_improvement,15.6,0,7.7
304,10000, 36 months,11.71,B,32000,1,credit_card,21.83,0,59.6
305,24000, 36 months,8.9,A,116400,1,car,3.94,0,8.1
306,14400, 36 months,12.69,B,40000,0,debt_consolidation,20.16,0,79.5
307,6000, 36 months,14.65,C,34000,0,credit_card,21.39,0,88.5
308,22000, 36 months,15.96,C,73000,0,debt_consolidation,22.47,0,85.1
309,12000, 36 months,11.71,B,57200,1,debt_consolidation,16.36,0,68.5
310,16000, 36 months,16.77,D,114000,0,debt_consolidation,17.2,0,64.2
311,10000, 36 months,10.65,B,90000,0,debt_consolidation,11.16,0,59.4
312,16000, 60 months,19.03,E,54000,0,home_improvement,16.89,0,56.2
313,10000, 36 months,12.69,B,35000,1,debt_consolidation,12.03,0,84.6
314,3500, 36 months,13.49,C,56000,0,debt_consolidation,10.35,0,54.2
315,9600, 36 months,9.91,B,35000,0,debt_consolidation,16.49,0,79
316,9875, 36 months,7.9,A,40000,0,debt_consolidation,24.03,0,63.7
317,21500, 60 months,17.58,D,59000,0,debt_consolidation,22.86,0,81.8
318,4800, 36 months,7.9,A,48000,0,debt_consolidation,13,0,26
319,7800, 36 months,6.03,A,85000,0,major_purchase,0.78,0,6.2
320,20000, 36 months,14.27,C,70000,0,credit_card,6.21,0,89
321,9750, 36 months,7.51,A,35000,1,debt_consolidation,29.04,0,51.7
322,18000, 60 months,15.96,C,91000,0,credit_card,23.41,0,67
323,5000, 36 months,6.03,A,30000,0,other,16.48,0,25.6
324,9000, 36 months,14.65,C,45000,0,debt_consolidation,17.01,1,50
325,7200, 36 months,7.9,A,55000,0,debt_consolidation,11.98,0,46.1
326,25000, 60 months,19.42,E,60000,1,credit_card,20.04,0,94.9
327,25000, 36 months,15.27,C,82000,0,debt_consolidation,18.5,0,70.6
328,10000, 36 months,15.96,C,53000,0,debt_consolidation,13.09,0,77.2
329,8875, 36 months,12.69,B,35360,1,debt_consolidation,23.11,0,71.1
330,15550, 36 months,11.71,B,54000,0,debt_consolidation,23.36,0,89.8
331,7500, 36 months,12.69,B,65000,0,credit_card,4.41,0,35.5
332,8875, 36 months,8.9,A,28800,0,debt_consolidation,24.29,0,69.5
333,4500, 36 months,17.27,D,42000,0,credit_card,4.34,0,68.5
334,5800, 36 months,12.42,B,36000,0,debt_consolidation,21.67,0,66.9
335,10000, 36 months,11.71,B,40000,0,debt_consolidation,22.26,0,47.4
336,10000, 36 months,9.91,B,50000,0,credit_card,19.06,0,88.6
337,14000, 36 months,11.71,B,52000,0,credit_card,12.97,0,57.9
338,25000, 60 months,19.03,E,85000,0,credit_card,17.15,0,87.9
339,12000, 36 months,8.9,A,32000,1,debt_consolidation,6.75,0,59.2
340,24000, 36 months,7.9,A,75000,0,debt_consolidation,10.58,0,45
341,14000, 36 months,14.27,C,80000,0,credit_card,3.3,0,59
342,12000, 36 months,8.9,A,40246,0,credit_card,17.08,0,72.2
343,15000, 60 months,12.69,B,30000,1,debt_consolidation,24.76,0,65.7
344,8050, 36 months,12.69,B,36000,1,debt_consolidation,14.8,0,81.3
345,5600, 36 months,10.65,B,60000,0,debt_consolidation,16.36,1,12.4
346,7500, 36 months,9.91,B,31200,0,credit_card,12.35,0,57.3
347,7000, 36 months,11.71,B,90000,0,credit_card,12.19,0,93.8
348,5400, 36 months,7.9,A,40000,0,debt_consolidation,10.89,0,77
349,16000, 36 months,12.42,B,90000,0,credit_card,13.67,0,65.2
350,6000, 60 months,7.9,A,30084,1,debt_consolidation,1.68,0,10
351,4125, 60 months,12.69,B,36000,0,car,17.73,0,37.6
352,9800, 36 months,16.29,D,67000,0,credit_card,21.01,0,44.9
353,15700, 60 months,18.25,D,63000,0,debt_consolidation,17.43,0,63
354,9900, 36 months,11.71,B,26400,0,debt_consolidation,14.09,1,88.9
355,15000, 36 months,11.71,B,68400,0,debt_consolidation,5.7,0,82.2
356,6250, 36 months,15.96,C,29120,0,debt_consolidation,20.85,0,88.8
357,6400, 36 months,16.29,D,29120,0,debt_consolidation,17.97,0,94.6
358,8850, 60 months,13.49,C,89122,0,major_purchase,7.67,0,84.7
359,12000, 36 months,15.27,C,54000,0,debt_consolidation,17.07,0,61
360,15000, 36 months,8.9,A,30000,0,debt_consolidation,6.48,0,25.2
361,6500, 36 months,14.27,C,30000,0,credit_card,10.12,0,81.5
362,8000, 36 months,15.96,C,50000,0,credit_card,16.34,0,81.2
363,15000, 36 months,14.65,C,100500,0,credit_card,14.56,0,74.3
364,10200, 36 months,14.27,C,40000,0,debt_consolidation,16.53,0,80.6
365,9000, 36 months,12.42,B,47000,0,credit_card,19.1,0,47.2
366,6500, 36 months,16.29,D,68000,0,debt_consolidation,21.85,0,92.4
367,23000, 60 months,21.28,F,95000,0,debt_consolidation,8.94,0,99.3
368,2000, 36 months,7.9,A,39600,0,credit_card,5.09,0,79.2
369,8000, 36 months,13.49,C,30000,0,debt_consolidation,14.48,0,44.1
370,8875, 36 months,7.51,A,30000,0,debt_consolidation,28.4,0,83.7
371,1500, 36 months,18.64,E,17000,1,other,4.59,0,99.8
372,8000, 36 months,12.42,B,42000,0,debt_consolidation,20.26,0,85.4
373,20000, 60 months,14.65,C,75000,1,debt_consolidation,16.51,0,74.9
374,6500, 36 months,11.71,B,42000,0,credit_card,6.26,0,63.8
375,9600, 36 months,13.49,C,27000,0,debt_consolidation,10.22,0,84.9
